residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence_score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/hoian/,"Four Seasons Private Residences Hoi An, Vietnam, is located at 1 Nguyen Trai, Cam An, Hoi An, Quang Nam, Vietnam.",3000000,1000,2000000,5000000,3000,40,2008,completed,high,yes,yes,92,Quang Nam,Vietnam,"Private pools, fitness center, private gardens, beachfront villas","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","Kids’ club, spa facilities, water sports, biking trails, comfort stations",Mile-long private beachfront,Three resort pools with ocean views,An Viet spa with Vietnamese treatments,11,Four Seasons,"Bask in luxurious beachfront living, where vibrant culture meets serene coastal beauty.","Overlooking the stunning coastline and lush rice paddies, these residences offer unparalleled luxury with private beach access and bespoke amenities."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/jakarta/,"Four Seasons Private Residences Jakarta, Jl. Jend. Sudirman No. 18, Jakarta 10220, Indonesia.",2500000,1000,1500000,5000000,2500,122,2016,completed,high,yes,yes,94,Jakarta,Indonesia,"Fitness center, private terraces, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ playroom, tennis courts, sauna, jogging track",Lagoon-style swimming pools,Turkish marble-floored interiors,Central Business District location,10,Four Seasons,"Rising majestically, this urban sanctuary redefines luxury with panoramic skyline vistas.","Offering breathtaking panoramic views of the city skyline and a vibrant lifestyle, this residence features exclusive amenities like a private rooftop infinity pool and personalized concierge services."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/kohsamui/,"Four Seasons Private Residences Koh Samui, 219 Moo 5, Baan Taling Ngam, Taling Ngam, Koh Samui, Surat Thani 84140, Thailand.",4500000,1200,2500000,7500000,3750,12,2007,completed,high,yes,yes,93,Koh Samui,Thailand,"Private infinity pools, fitness center, full kitchens, hillside terraces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","Kids’ club, water sports, spa facilities, private yacht access, comfort stations",Private infinity pool per villa,CoCoRum poolside lounge with rum vault,KOH restaurant with southern Thai flavors,11,Four Seasons,Discover unparalleled luxury with panoramic ocean views from your secluded hillside retreat.,"Offering breathtaking ocean views and private infinity pools, these residences redefine luxury living in a tropical paradise."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/kualalumpur/,"Four Seasons Private Residences Kuala Lumpur, 145 Jalan Ampang",3000000,1000,1000000,12500000,3000,242,2018,completed,high,yes,yes,95,Kuala Lumpur,Malaysia,"Fitness center, private terraces, residents’ lounge, atrium mall access","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, rooftop pool terrace, spa facilities, business suite, valet parking",Full-length heated rooftop pool,Golden Triangle district location,Access to designer boutiques in atrium mall,10,Four Seasons,Indulge in unparalleled luxury with breathtaking skyline views and exquisite design.,"Offering breathtaking skyline views and direct access to a vibrant shopping district, this residence redefines luxury living in the heart of Kuala Lumpur."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/kyoto/,"Four Seasons Private Residences Kyoto, Japan  
445-3 Myohoin Maekawa-cho, Higashiyama-ku",8000000,2500,4000000,12000000,3200,57,2016,completed,high,yes,yes,94,Kyoto,Japan,"Private kitchens, fitness center, private cinema, 800-year-old ikeniwa garden","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, spa facilities, kids’ tent experience, tea house, comfort stations",Indoor pool with whirlpools,EMBA Kyoto Grill dining,800-year-old ikeniwa garden pond,11,Four Seasons,A serene sanctuary blending modern elegance with Kyoto’s timeless cultural heritage.,"Offering breathtaking views of the iconic Kiyomizu-dera Temple, these residences feature private gardens and unparalleled access to Kyoto's cultural treasures."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/mumbai/,"Four Seasons Private Residences Mumbai, 1/136 Dr. E. Moses Road, Worli, Mumbai, Maharashtra 400018, India.",7500000,2300,3000000,20000000,3260,41,2023,completed,high,yes,yes,95,Mumbai,India,"Private terraces, fitness center, private cinema, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ playroom, spa facilities, rooftop terrace, valet parking",Rooftop infinity pool with Arabian Sea views,Gensler-designed 65-story tower,Private cinema for residents,10,Four Seasons,Elevate your lifestyle with panoramic Arabian Sea views from your opulent sanctuary.,"Offering breathtaking panoramic views of the Arabian Sea, these residences feature bespoke interiors and unparalleled access to luxury amenities."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/los_cabos/,"Carretera Transpeninsular Km 19.5, San José del Cabo, B.C.S., Mexico.",8000000,1600,5500000,15000000,5000,64,2023,under construction,high,yes,yes,93,San José del Cabo,Mexico,"Beach club, fitness center, private infinity pools, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","Kids’ club, beach access, water sports, outdoor pursuits, valet parking",Private infinity pool per residence,Swimmable beachfront access,Hacienda-style dining options,11,Four Seasons,Indulge in breathtaking ocean views and unparalleled luxury in your private sanctuary.,"Offering breathtaking ocean views and private access to a secluded beach, these residences redefine luxury living in Los Cabos."
Four Seasons Private Residences,https://www.fourseasons.com/residences/private_residences/tamarindo/,"Tamarindo Nature Reserve, La Huerta, Mexico",9500000,1500,8950000,15000000,6300,25,2025,under construction,high,yes,yes,95,La Huerta,Mexico,"Private infinity pools, fitness center, beach club, sustainable farm","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","Kids’ club, beach access, water sports, outdoor pursuits, comfort stations",Private infinity pool per residence,"3,000-acre nature reserve beachfront",Coyul dining by Elena Reygadas,11,Four Seasons,Embrace unparalleled oceanfront living with breathtaking panoramic views and bespoke luxury design.,"Overlooking the stunning Pacific coastline, these exclusive residences boast private infinity pools and access to pristine, secluded beaches."
Grand Hyatt Manila Residences,https://grandhyattmanilaresidences.ph/residences/grand-hyatt-manila-residences-south-tower/,"8th Avenue corner 35th Street, Grand Central Park, North BGC",1500000,1050,750000,3500000,1430,188,2023,completed,high,yes,yes,95,Manila,Philippines,"Fitness center, private balconies, game room, kids’ play area","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","Kids’ club, whirlpool, yoga room, children’s pool, valet parking",25-meter heated lap pool,No. 8 China House dining,State-of-the-art gym with virtual trainers,10,Grand Hyatt,Elevate your lifestyle with panoramic skyline views from luxurious high-rise sanctuaries.,"Offering breathtaking views of Manila Bay and exclusive amenities like a private infinity pool, this residence redefines luxury living."
Grand Hyatt Gurgaon Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,"Sector 83, NH 8, Gurugram, Haryana 122018, India.",750000,750,500000,1200000,1000,60,2024,completed,medium,yes,yes,92,Haryana,India,"Private balconies, fitness center, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, rooftop terrace, valet parking, business suite",Outdoor swimming pool with city views,Cena Pranzo Italian trattoria,Parlour lobby lounge with colonial specialties,11,Grand Hyatt,Indulge in luxurious living with stunning skyline views and world-class amenities.,"Overlooking lush green landscapes, these residences boast expansive balconies, private pools, and unparalleled access to premium leisure amenities."
Grand Hyatt Rio de Janeiro Residences,https://www.hyatt.com/collection/hyatt-residences-private-residences,"Avenida Lúcio Costa, 9600 - Barra da Tijuca, Rio de Janeiro - RJ, 22630-012, Brazil.",1200000,600,800000,2500000,2000,40,2016,completed,high,yes,yes,93,Rio de Janeiro,Brazil,"Private balconies, fitness center, spa facilities, private cinema","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, sauna, valet parking",Outdoor pool with Barra da Tijuca beach views,Shiso restaurant with Japanese cuisine,Atiaia Spa with Turkish steam bath,10,Grand Hyatt,Luxury oceanfront living meets contemporary elegance with direct access to pristine beaches.,"Overlooking the breathtaking Barra da Tijuca beach, this residence boasts expansive ocean views and exclusive access to luxurious amenities."
